,!=,&&,(,),+,++,",",-,;,=,==,CADENA,ENTERO,ID,alert,boolean,FALSE,for,function,if,input,let,number,return,string,TRUE,{,||,},$
A,,,,60,,,,,,,,,,,,59,,,,,,,59,,59,,,,,
B,,,,,,,,,,,,,,,,,,39,,38,,37,,,,,,,,
C,,,,,,7,,,,,,,,7,7,,,6,,6,7,6,,,,,,,8,
D,36,36,35,36,36,,36,36,36,,36,,,,,,,,,,,,,,,,,,36,
E,,,14,,,14,,,,,,14,14,14,,,14,,,,,,,,,14,,15,,
F,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
G,,,47,,,,,,,46,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,55,,54,,,,,,,54,,54,,,,,
I,,18,,19,,,19,,19,,,,,,,,,,,,,,,,,,,,19,
J,27,27,,27,25,,27,26,27,,27,,,,,,,,,,,,,,,,,,27,
K,,,,62,,,61,,,,,,,,,,,,,,,,,,,,,,,
L,,,50,51,,50,,,,,,50,50,50,,,50,,,,,,,,,50,,50,,
M,,,,42,,43,,,,,,,,42,,,,,,,,,,,,,,,,
N,,,,41,,,,,41,,,,,40,,,,,,,,,,,,,,,,
O,21,23,,23,,,23,,23,,22,,,,,,,,,,,,,,,,,,23,
P,,,,,,3,,,,,,,,3,3,,,1,2,1,3,1,,,,,,,,4
Q,,,,53,,,52,,,,,,,,,,,,,,,,,,,,,,,
R,,,17,,,17,,,,,,17,17,17,,,17,,,,,,,,,17,,,,
S,,,,,,45,,,,,,,,44,49,,,,,,48,,,,,,,,,
T,,,,,,,,,,,,,,,,56,,,,,,,58,,57,,,,,
U,,,20,,,20,,,,,,20,20,20,,,20,,,,,,,,,20,,,,
V,,,24,,,24,,,,,,24,24,24,,,24,,,,,,,,,24,,,,
W,,,29,,,28,,,,,,32,31,30,,,34,,,,,,,,,33,,,,
X,,,12,,,12,,,,,,12,12,12,,,12,,,,,,,,,12,,12,13,
Y,,,,16,,,16,,16,,,,,,,,,,,,,,,,,,,,16,
Z,,,,,,10,,,,,,,,10,10,,,9,,9,10,9,,11,,,,,63,
